City ID,City,Country,Max Temp,Lat,Lng,Humidity,Cloudiness,Wind Speed
2100933,Ambunti,PG,86.68,-4.2365,142.8448,66,93,1.97
878281,Lindi,TZ,73.22,-10.0,39.7167,97,100,2.93
995573,Hoopstad,ZA,69.01,-27.8327,25.9083,50,2,5.44
2181625,Te Anau,NZ,74.25,-45.4167,167.7167,41,0,7.23
6690296,Saint-Joseph,RE,73.78,-21.3667,55.6167,80,13,3.09
5850554,Makakilo City,US,79.68,21.3469,-158.0858,58,75,13.8
2092164,Lorengau,PG,84.36,-2.0226,147.2712,73,78,6.15
2647349,Hatfield,GB,48.09,51.7634,-0.2242,94,100,5.75
4035249,Lufilufi,WS,91.18,-13.8745,-171.5986,78,82,14.2
1159716,Sarakhs,IR,42.94,36.5449,61.1577,70,0,4.61
3414079,Olafsvik,IS,25.86,64.8945,-23.7142,56,90,7.29
905846,Mpika,ZM,60.15,-11.8343,31.4529,93,100,2.55
3356832,Henties Bay,NA,67.86,-22.116,14.2845,85,0,5.75
3412093,Vestmannaeyjar,IS,25.77,63.4427,-20.2734,71,92,19.62
3665210,Rodrigues Alves,BR,71.26,-7.738,-72.6509,99,99,2.08
5815135,Washington,US,50.47,47.5001,-120.5015,72,100,1.66
5924351,Clyde River,CA,-14.57,70.4692,-68.5914,76,100,19.57
3395503,Marabá,BR,72.61,-5.3686,-49.1178,98,98,0.72
4031742,Egvekinot,RU,-21.42,66.3167,-179.1667,89,45,5.86
1863521,Gōtsuchō,JP,41.14,35.0,132.2167,61,99,1.03
4470244,Havelock,US,49.95,34.8791,-76.9013,88,0,2.1
5847411,Kahului,US,85.26,20.8947,-156.47,60,40,17.27
1735022,Temerloh,MY,72.88,3.4483,102.4176,98,100,0.58
1512101,Agirish,RU,9.16,61.9247,63.0231,93,96,11.39
2126018,De-Kastri,RU,10.6,51.4667,140.7833,87,85,7.27
3460940,Itacaré,BR,82.29,-14.2775,-38.9967,86,0,5.68
3981345,Topolobampo,MX,71.51,25.6,-109.05,33,75,12.66
535417,Lev Tolstoy,RU,21.22,53.2134,39.446,97,100,5.99
3860443,Comodoro Rivadavia,AR,73.26,-45.8667,-67.5,17,0,14.97
4356289,Glenn Dale,US,49.53,38.9876,-76.8205,60,0,0.0
2070998,Geraldton,AU,72.01,-28.7667,114.6,56,0,10.36
3137469,Sørland,NO,40.14,67.667,12.6934,77,100,31.0
5884051,Alliston,CA,39.69,44.1501,-79.8663,74,100,6.91
2436400,Ati,TD,62.67,13.2154,18.3353,12,0,10.78
4362001,Mayo,US,49.08,38.8876,-76.5119,67,0,9.22
3390295,Rio Formoso,BR,82.36,-8.6636,-35.1586,77,76,7.16
1835848,Seoul,KR,29.8,37.5683,126.9778,69,0,3.44
6111862,Port Hardy,CA,46.58,50.6996,-127.4199,87,75,4.61
196231,Isiolo,KE,67.3,0.3546,37.5822,46,9,5.06
2428231,Massaguet,TD,68.04,12.4755,15.4365,12,0,9.69
2281951,Sassandra,CI,77.41,4.95,-6.0833,93,7,4.12
1501377,Kungurtug,RU,-20.43,50.5994,97.5228,99,100,1.34
2293342,Adzopé,CI,72.25,6.1069,-3.8619,98,3,2.3
778707,Mehamn,NO,18.28,71.0357,27.8492,88,44,10.31
1802204,Luancheng,CN,28.56,37.8792,114.6517,45,0,1.61
897045,Solwezi,ZM,61.57,-12.1688,26.3894,97,100,2.68
4035715,Avarua,CK,80.65,-21.2078,-159.775,83,20,14.97
2141305,Fayaoué,NC,83.79,-20.65,166.5333,83,100,28.45
2634739,Warrington,GB,43.45,53.3925,-2.5802,81,100,12.66
